"ID"	"Site"	"A0"	"rate.sec"	"intercept"	"plant.sp"	"caterpillar.sp"	"phytchemdiv"	"host.parasitism"	"dietbreadth"	"max.abs"	"rate.min"	"cov"
"42"	32803	"Costa Rica"	NA	0.00121	NA	"Piper imperiale"	"Eois apyraria"	0.84661	0.0137	7	1.181	0.0726	7
"43"	32856	"Costa Rica"	NA	8e-05	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	0.091	0.0048	12
"44"	32821	"Costa Rica"	NA	2e-05	NA	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.025	0.0012	28
"45"	32815	"Costa Rica"	NA	4.67e-05	NA	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.052	0.002800002	28
"46"	32816	"Costa Rica"	NA	0.001318333	NA	"Piper cenocladum"	"Eois apyraria"	0.92414	0.084	7	1.335	0.07909998	1
"47"	32978	"Costa Rica"	NA	0.001008333	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	1.185	0.06049998	12
"48"	33267	"Costa Rica"	NA	0.000673333	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.075	0.04039998	13
"49"	33268	"Costa Rica"	NA	7e-05	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	0.17	0.0042	13
"50"	33269	"Costa Rica"	NA	0.000241667	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	0.246	0.01450002	13
"51"	33270	"Costa Rica"	NA	0.000398333	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	1.141	0.02389998	12
"52"	33271	"Costa Rica"	NA	0.000923333	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	1.226	0.05539998	12
"53"	33272	"Costa Rica"	NA	0.00096	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.458	0.0576	13
"54"	33273	"Costa Rica"	NA	0.000163333	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	0.375	0.00979998	12
"55"	33274	"Costa Rica"	NA	0.000973333	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.299	0.05839998	13
"56"	33275	"Costa Rica"	NA	0.001063333	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	1.442	0.06379998	12
"57"	33276	"Costa Rica"	NA	0.000565	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	0.866	0.0339	12
"58"	33277	"Costa Rica"	NA	0.000993333	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.295	0.05959998	13
